id,name,quiz_id,timestamp,score
1,JAVA jsp,1,2025-02-14T08:16:47.817478,10/10
5,OOPS,2,2025-03-14T08:16:47.817478,2/5
6,Angular,6,2025-03-14T09:08:24.090615,2/2
7,Angular,6,2025-03-14T09:24:48.314324,1/2
8,OOPS,2,2025-03-22T17:36:48.825872,1/5
9,Angular,6,2025-03-23T10:44:21.948684,0/2
10,OOPS,2,2025-03-23T13:09:31.412234,0/4
16,Algorithm Analysis,17,2025-03-23T15:33:18.408918,4/5
17,OOPS,2,2025-03-23T15:35:23.949099,2/4
